LABEL,X,Y,Z
LF,2425,400,172
LA,2675,400,174.9777
LBJ,2650,610,169.9777
UF,2425,400,339.9777
UA,2675,400,329.9777
UBJ,2662,575,349.9777
PRO,2650,555,380.0242
PRI,2675,485,530.0242
TRO,2700,570,205.0242
TRI,2700,400,200.0242
DC,2675,165,500.3442
RD,2675,350,580.0242
WSP,2650,575,265.9803
WC,2650,675,268.4242
RPA1,2675,400,500.0242
RPA2,2695,400,500.0242
CP,2650,675,0
